species,breed,age_group,disease,symptoms_list,key_signs,recommended_treatment,prevention
Goat,Local,Neonate,Parasitic Gastroenteritis,anorexia|bottle_jaw|poor_condition|diarrhoea,reduced appetite/anorexia; bottle jaw,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Sanga,Senior,Dermatophilosis,wet_skin|exudative_dermatitis|matted_hair|crusting_skin_lesions,wet skin; exudative dermatitis,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Dog,Crossbreed,Neonate,Rabies (spillover),aggression|neurological_signs|paralysis,aggression; neurological signs / paralysis,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Merino,Neonate,Coccidiosis,anorexia|diarrhoea|weight_loss,reduced appetite/anorexia; diarrhoea,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Dermatophilosis,lameness|exudative_dermatitis|crusting_skin_lesions|matted_hair,lameness; exudative dermatitis,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Adult,Theileriosis,drooling|lymph_node_enlargement|respiratory_distress|icterus,drooling/ptyalism; lymph node enlargement,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Juvenile,Babesiosis,fever|hemoglobinuria|anemia|ticks_observed,fever; red/brown urine (hemoglobinuria),Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Neonate,Rabies (spillover),behavioural_changes|aggression|hypersalivation,behavioural changes; aggression,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Friesian,Adult,Anaplasmosis,fever|weakness,fever; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Adult,Lumpy Skin Disease,fever|skin_nodules,fever; skin nodules,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Brahman,Adult,Mannheimiosis (Pasteurellosis),respiratory_distress|nasal_discharge|coughing|anorexia,respiratory distress; nasal discharge,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Neonate,Anaplasmosis,pale_mucous_membranes|fever|weight_loss|progressive_anemia|weakness,pale mucous membranes; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Senior,Tick-bite toxicosis,sudden_weakness|salivation,sudden weakness; salivation,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Neonate,Tick-bite toxicosis,anemia|sudden_weakness|lameness,anemia; sudden weakness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Adult,Tick-bite toxicosis,sudden_weakness|lameness|anemia|ticks_observed,sudden weakness; lameness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Juvenile,Theileriosis,drooling|respiratory_distress|lymph_node_enlargement|anorexia,drooling/ptyalism; respiratory distress,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Local scavenging,Juvenile,Avian Influenza (HPAI),greenish_diarrhoea|drop_in_egg_production,greenish diarrhoea; drop in egg production,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Hereford,Senior,Parasitic Gastroenteritis,bottle_jaw|diarrhoea|poor_condition|weight_loss|anorexia,bottle jaw; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Neonate,Anaplasmosis,weakness|weight_loss|pale_mucous_membranes,weakness; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Senior,Babesiosis,weakness|anemia|fever|anorexia|ticks_observed,weakness; anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Juvenile,Coccidiosis,diarrhoea|weight_loss|anorexia,diarrhoea; weight loss,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Neonate,Parasitic Gastroenteritis,weight_loss|diarrhoea,weight loss; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Indigenous,Senior,Avian Influenza (HPAI),swelling_head|respiratory_signs|drop_in_egg_production,swelling of head; respiratory signs,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Broilers,Juvenile,Avian Influenza (HPAI),swelling_head|respiratory_signs|sudden_death|greenish_diarrhoea,swelling of head; respiratory signs,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Kalahari,Senior,Anaplasmosis,weakness|weight_loss|progressive_anemia|pale_mucous_membranes|ticks_observed,weakness; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Indigenous,Neonate,Avian Influenza (HPAI),sudden_death|swelling_head|greenish_diarrhoea,sudden death; swelling of head,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Brahman,Adult,Babesiosis,anemia|hemoglobinuria|weakness,anemia; red/brown urine (hemoglobinuria),Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Juvenile,Anaplasmosis,fever|progressive_anemia|weakness|weight_loss|pale_mucous_membranes|ticks_observed,fever; progressive anemia,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Neonate,Theileriosis,lymph_node_enlargement|icterus|anorexia|fever|ticks_observed,lymph node enlargement; jaundice/icterus,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Neonate,Mastitis,pain_on_palpation|swollen_udder|reduced_milk,pain on palpation; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Neonate,Rabies (spillover),aggression|hypersalivation|behavioural_changes|paralysis|neurological_signs,aggression; hypersalivation,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Pig,Landrace,Neonate,African Swine Fever,high_fever|hemorrhages,high fever; hemorrhages,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Pig,Landrace,Adult,African Swine Fever,anorexia|high_fever|abortions,reduced appetite/anorexia; high fever,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Pig,Local,Senior,African Swine Fever,abortions|sudden_death|hemorrhages,abortions; sudden death,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Dog,Crossbreed,Adult,Rabies (spillover),behavioural_changes|hypersalivation|neurological_signs|paralysis|sudden_death,behavioural changes; hypersalivation,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Layers,Senior,Coccidiosis,dehydration|weight_loss|anorexia,dehydration; weight loss,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Neonate,Rabies (spillover),neurological_signs|aggression|hypersalivation,neurological signs / paralysis; aggression,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Juvenile,Parasitic Gastroenteritis,anorexia|bottle_jaw,reduced appetite/anorexia; bottle jaw,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Adult,Rabies (spillover),paralysis|neurological_signs|aggression|behavioural_changes,paralysis; neurological signs / paralysis,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Local,Neonate,Babesiosis,fever|weakness|hemoglobinuria|anorexia,fever; weakness,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Senior,Theileriosis,lymph_node_enlargement|anorexia|icterus,lymph node enlargement; reduced appetite/anorexia,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Neonate,Foot-and-Mouth Disease,reduced_appetite|blisters_mouth_feet|excess_salivation|fever,reduced appetite; vesicles/blisters on mouth/feet,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Juvenile,Anaplasmosis,weakness|pale_mucous_membranes|progressive_anemia|weight_loss|fever,weakness; pale mucous membranes,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Neonate,Dermatophilosis,lameness|exudative_dermatitis,lameness; exudative dermatitis,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Senior,Foot-and-Mouth Disease,excess_salivation|reduced_appetite,excess salivation; reduced appetite,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer,Juvenile,Anaplasmosis,weakness|progressive_anemia|ticks_observed,weakness; progressive anemia,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Adult,Mastitis,reduced_milk|swollen_udder|pain_on_palpation,reduced milk yield; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Layers,Neonate,Newcastle Disease,diarrhoea|drop_in_egg_production|neurological_signs|sudden_death,diarrhoea; drop in egg production,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Neonate,Mastitis,swollen_udder|reduced_milk,swollen udder; reduced milk yield,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Broilers,Senior,Newcastle Disease,respiratory_distress|diarrhoea|drop_in_egg_production|neurological_signs,respiratory distress; diarrhoea,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Broilers,Neonate,Newcastle Disease,neurological_signs|drop_in_egg_production,neurological signs / paralysis; drop in egg production,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Juvenile,Babesiosis,weakness|anemia|fever,weakness; anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Adult,Dermatophilosis,lameness|matted_hair|crusting_skin_lesions|wet_skin,lameness; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Juvenile,Mastitis,pain_on_palpation|swollen_udder|reduced_milk,pain on palpation; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Juvenile,Rabies (spillover),hypersalivation|aggression|paralysis|sudden_death,hypersalivation; aggression,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Hereford,Juvenile,Coccidiosis,weight_loss|dehydration,weight loss; dehydration,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Berkshire,Adult,African Swine Fever,anorexia|hemorrhages|sudden_death|abortions|high_fever,reduced appetite/anorexia; hemorrhages,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Juvenile,Parasitic Gastroenteritis,poor_condition|bottle_jaw,poor condition; bottle jaw,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Neonate,Anthrax,fever|neck_edema,fever; neck edema,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Merino,Adult,Dermatophilosis,wet_skin|crusting_skin_lesions|matted_hair|lameness|exudative_dermatitis|sudden_death,wet skin; crusting skin lesions,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Senior,Lumpy Skin Disease,swollen_lymph_nodes|reduced_milk|skin_nodules|sudden_death,swollen lymph nodes; reduced milk yield,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer cross,Neonate,Orf (Contagious Ecthyma),lamb_kid_mortality|weight_loss|scabby_lesions_mouth,lamb kid mortality; weight loss,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Dog,Local,Senior,Rabies (spillover),aggression|paralysis|neurological_signs|behavioural_changes|hypersalivation,aggression; paralysis,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer cross,Adult,Babesiosis,hemoglobinuria|fever|weakness,red/brown urine (hemoglobinuria); fever,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Adult,Mannheimiosis (Pasteurellosis),coughing|anorexia|nasal_discharge|respiratory_distress,coughing; reduced appetite/anorexia,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Mastitis,reduced_milk|pain_on_palpation|swollen_udder,reduced milk yield; pain on palpation,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Adult,Anthrax,fever|bloody_diarrhoea|swelling,fever; bloody diarrhoea,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Senior,Theileriosis,icterus|lymph_node_enlargement|drooling|respiratory_distress|fever,jaundice/icterus; lymph node enlargement,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Landrace,Adult,African Swine Fever,sudden_death|high_fever|anorexia,sudden death; high fever,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Kalahari,Adult,Babesiosis,anorexia|anemia|weakness|hemoglobinuria,reduced appetite/anorexia; anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Juvenile,Mastitis,swollen_udder|abnormal_milk,swollen udder; abnormal milk,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Juvenile,Blackleg,swollen_muscle|sudden_death,swollen muscle; sudden death,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Orf (Contagious Ecthyma),lamb_kid_mortality|weight_loss,lamb kid mortality; weight loss,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Senior,Theileriosis,drooling|respiratory_distress,drooling/ptyalism; respiratory distress,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Juvenile,Mastitis,pain_on_palpation|swollen_udder,pain on palpation; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Senior,Anaplasmosis,pale_mucous_membranes|fever|weight_loss|weakness|progressive_anemia,pale mucous membranes; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Juvenile,Anaplasmosis,fever|progressive_anemia|weight_loss|weakness|pale_mucous_membranes,fever; progressive anemia,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Adult,Babesiosis,hemoglobinuria|anemia|fever|weakness|anorexia,red/brown urine (hemoglobinuria); anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Juvenile,Lumpy Skin Disease,skin_nodules|swollen_lymph_nodes|fever|reduced_milk|lameness,skin nodules; swollen lymph nodes,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Dorper,Adult,Mastitis,abnormal_milk|swollen_udder|reduced_milk|pain_on_palpation,abnormal milk; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Adult,Blackleg,sudden_death|severe_lameness,sudden death; severe lameness,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Juvenile,Parasitic Gastroenteritis,weight_loss|diarrhoea|bottle_jaw,weight loss; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Neonate,Mastitis,reduced_milk|pain_on_palpation|abnormal_milk|swollen_udder,reduced milk yield; pain on palpation,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Juvenile,Blackleg,severe_lameness|sudden_death,severe lameness; sudden death,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Senior,Brucellosis,orchitis|reduced_fertility,orchitis; reduced fertility,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Angus,Juvenile,Anthrax,swelling|tongue_ulcers|fever|neck_edema,swelling; tongue ulcers,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Adult,Babesiosis,fever|anemia|weakness,fever; anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Adult,Mastitis,pain_on_palpation|swollen_udder|reduced_milk|abnormal_milk,pain on palpation; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Broilers,Neonate,Coccidiosis,anorexia|dehydration|weight_loss|diarrhoea,reduced appetite/anorexia; dehydration,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Senior,Rabies (spillover),aggression|hypersalivation,aggression; hypersalivation,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Katahdin,Adult,Parasitic Gastroenteritis,anorexia|bottle_jaw|weight_loss|diarrhoea|poor_condition,reduced appetite/anorexia; bottle jaw,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Neonate,Anaplasmosis,weakness|weight_loss,weakness; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Neonate,Babesiosis,anemia|fever|weakness|anorexia|hemoglobinuria|ticks_observed,anemia; fever,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Neonate,Dermatophilosis,wet_skin|crusting_skin_lesions,wet skin; crusting skin lesions,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Senior,Mastitis,reduced_milk|abnormal_milk,reduced milk yield; abnormal milk,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Senior,Tick-bite toxicosis,sudden_weakness|lameness|salivation|ticks_observed,sudden weakness; lameness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Senior,Theileriosis,anorexia|drooling|respiratory_distress|fever|lymph_node_enlargement,reduced appetite/anorexia; drooling/ptyalism,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Neonate,Mannheimiosis (Pasteurellosis),nasal_discharge|coughing|anorexia|fever|respiratory_distress,nasal discharge; coughing,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Juvenile,Anaplasmosis,weight_loss|fever|progressive_anemia|ticks_observed,weight loss; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Adult,Parasitic Gastroenteritis,weight_loss|bottle_jaw,weight loss; bottle jaw,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Large White,Adult,Brucellosis,orchitis|retained_placenta|reduced_fertility,orchitis; retained placenta,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Kalahari,Senior,Mannheimiosis (Pasteurellosis),anorexia|nasal_discharge|coughing|fever,reduced appetite/anorexia; nasal discharge,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Adult,Theileriosis,respiratory_distress|fever|anorexia,respiratory distress; fever,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Senior,Rabies (spillover),behavioural_changes|hypersalivation|aggression|paralysis|neurological_signs,behavioural changes; hypersalivation,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Adult,Parasitic Gastroenteritis,bottle_jaw|weight_loss|anorexia|poor_condition,bottle jaw; weight loss,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Juvenile,Dermatophilosis,crusting_skin_lesions|lameness|ticks_observed,crusting skin lesions; lameness,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Adult,Blackleg,severe_lameness|swollen_muscle|sudden_death,severe lameness; swollen muscle,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Juvenile,Lumpy Skin Disease,reduced_milk|lameness|skin_nodules|swollen_lymph_nodes|fever,reduced milk yield; lameness,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Local scavenging,Adult,Avian Influenza (HPAI),greenish_diarrhoea|respiratory_signs,greenish diarrhoea; respiratory signs,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Local scavenging,Adult,Avian Influenza (HPAI),swelling_head|greenish_diarrhoea|sudden_death,swelling of head; greenish diarrhoea,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Neonate,Anaplasmosis,pale_mucous_membranes|weakness|progressive_anemia,pale mucous membranes; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Neonate,Mastitis,swollen_udder|reduced_milk|pain_on_palpation|abnormal_milk,swollen udder; reduced milk yield,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Adult,Anaplasmosis,weakness|fever,weakness; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Senior,Babesiosis,anorexia|weakness|fever|anemia,reduced appetite/anorexia; weakness,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Adult,Anaplasmosis,progressive_anemia|weakness,progressive anemia; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Neonate,Lumpy Skin Disease,skin_nodules|swollen_lymph_nodes|lameness|fever,skin nodules; swollen lymph nodes,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Adult,Theileriosis,fever|icterus|drooling|anorexia|respiratory_distress,fever; jaundice/icterus,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Neonate,Tick-bite toxicosis,anemia|salivation|lameness|sudden_weakness,anemia; salivation,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Local,Senior,Brucellosis,reduced_fertility|abortions|retained_placenta|orchitis,reduced fertility; abortions,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Brahman,Juvenile,Coccidiosis,anorexia|diarrhoea|sudden_death,reduced appetite/anorexia; diarrhoea,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Adult,Anaplasmosis,pale_mucous_membranes|weight_loss|progressive_anemia|ticks_observed,pale mucous membranes; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
