country,province,district,species,breed,age_group,disease,symptoms_list,key_signs,ticks_present,confirmed_lab,recommended_treatment,prevention,source,date_reported,confidence_level,case_id
Tanzania,Mwanza,Schneidermouth,Poultry,Broilers,Neonate,Newcastle Disease,diarrhoea|respiratory_distress|neurological_signs|drop_in_egg_production,diarrhoea; respiratory distress,N,No,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2020-11-11,0.79,606
Malawi,Central,Lake Michelle,Cattle,Brahman,Neonate,Theileriosis,drooling|fever|icterus|anorexia|sudden_death,drooling/ptyalism; fever,Y,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2020-10-13,0.87,897
South Africa,KwaZulu-Natal,Jonestown,Sheep,Katahdin,Adult,Brucellosis,orchitis|abortions|reduced_fertility|retained_placenta,orchitis; abortions,N,No,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Field_report,2020-07-22,0.86,528
Malawi,Central,shire,Dog,Crossbreed,Adult,Rabies (spillover),paralysis|aggression|behavioural_changes,paralysis; aggression,N,No,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,PLOS_Study,2024-08-10,0.78,4608
Botswana,South East,stad,Cattle,Bonsmara,Senior,Mannheimiosis (Pasteurellosis),anorexia|respiratory_distress|fever|nasal_discharge|coughing,reduced appetite/anorexia; respiratory distress,N,No,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.,Extension_guide,2024-11-30,0.91,2348
Angola,Luanda,Sharpmouth,Cattle,Sanga,Juvenile,Mastitis,swollen_udder|pain_on_palpation|abnormal_milk|reduced_milk,swollen udder; pain on palpation,N,No,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2022-09-03,0.8,3440
Tanzania,Arusha,town,Cattle,Sanga,Adult,Dermatophilosis,lameness|matted_hair|wet_skin|crusting_skin_lesions|ticks_observed,lameness; matted hair,N,Yes,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2023-11-02,0.99,4999
Malawi,Southern,port,Sheep,Dorper,Neonate,Dermatophilosis,exudative_dermatitis|crusting_skin_lesions|matted_hair,exudative dermatitis; crusting skin lesions,Y,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2022-08-25,0.77,4827
Angola,Benguela,Patriciaside,Cattle,Local,Juvenile,Theileriosis,fever|respiratory_distress|drooling|ticks_observed,fever; respiratory distress,Y,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2022-09-24,0.81,3923
Namibia,Erongo,town,Cattle,Bali,Senior,Mastitis,abnormal_milk|reduced_milk|swollen_udder|sudden_death,abnormal milk; reduced milk yield,N,Yes,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2024-08-28,0.99,299
Tanzania,Dar es Salaam,furt,Pig,Large White,Senior,African Swine Fever,anorexia|high_fever|hemorrhages|sudden_death,reduced appetite/anorexia; high fever,N,Yes,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Merck_VetManual,2022-01-03,0.78,2120
Botswana,Kweneng,Lake Vincent,Goat,Local,Senior,Coccidiosis,anorexia|weight_loss|dehydration,reduced appetite/anorexia; weight loss,N,No,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2020-07-10,0.85,2537
Mauritius,Plaines Wilhems,town,Cattle,Local,Juvenile,Anthrax,swelling|neck_edema|bloody_diarrhoea|tongue_ulcers|sudden_death,swelling; neck edema,N,No,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Merck_VetManual,2025-02-14,0.82,4204
Lesotho,Mokhotlong,burgh,Sheep,Katahdin,Juvenile,Babesiosis,hemoglobinuria|anorexia,red/brown urine (hemoglobinuria); reduced appetite/anorexia,N,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2019-10-12,0.92,3255
Madagascar,Antananarivo,borough,Sheep,Merino,Juvenile,Parasitic Gastroenteritis,weight_loss|bottle_jaw|anorexia|diarrhoea,weight loss; bottle jaw,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2021-06-09,0.86,3726
Namibia,Khomas,Markside,Cattle,Brahman,Senior,Anaplasmosis,pale_mucous_membranes|weakness|fever|ticks_observed,pale mucous membranes; weakness,Y,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2023-08-30,0.77,1261
Mauritius,Plaines Wilhems,Gonzalezborough,Goat,Local,Adult,Anaplasmosis,fever|weight_loss|progressive_anemia|pale_mucous_membranes,fever; weight loss,N,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2022-01-05,0.87,1559
South Africa,Mpumalanga,view,Cattle,Bonsmara,Neonate,Foot-and-Mouth Disease,excess_salivation|fever|blisters_mouth_feet,excess salivation; fever,N,No,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,PLOS_Study,2023-08-17,0.79,3270
Madagascar,Antananarivo,Sharpmouth,Poultry,Layers,Juvenile,Newcastle Disease,respiratory_distress|drop_in_egg_production|diarrhoea|neurological_signs,respiratory distress; drop in egg production,N,No,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2025-04-05,0.78,4047
Mozambique,Nampula,town,Pig,Local,Adult,African Swine Fever,sudden_death|anorexia|hemorrhages,sudden death; reduced appetite/anorexia,N,No,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.,PLOS_Study,2024-01-05,0.9,757
Comoros,Ngazidja,view,Sheep,Merino,Neonate,Coccidiosis,diarrhoea|anorexia,diarrhoea; reduced appetite/anorexia,N,No,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2023-08-10,0.83,1011
Mozambique,Cabo Delgado,mouth,Sheep,Merino,Neonate,Blackleg,swollen_muscle|sudden_death|severe_lameness,swollen muscle; sudden death,N,No,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2021-06-29,0.86,2795
Namibia,Otjozondjupa,South Crystal,Sheep,Katahdin,Juvenile,Theileriosis,anorexia|icterus|fever|ticks_observed|sudden_death,reduced appetite/anorexia; jaundice/icterus,Y,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2025-04-04,0.86,2906
Zimbabwe,Masvingo,Gomezfurt,Goat,Boer cross,Senior,Brucellosis,orchitis|retained_placenta,orchitis; retained placenta,N,No,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,DVS_reports,2023-03-23,0.92,1871
Tanzania,Mtwara,ton,Pig,Berkshire,Neonate,African Swine Fever,anorexia|abortions,reduced appetite/anorexia; abortions,N,No,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.,PLOS_Study,2023-05-06,0.77,2230
Mauritius,Plaines Wilhems,shire,Goat,Boer cross,Senior,Anaplasmosis,weight_loss|pale_mucous_membranes|weakness|progressive_anemia,weight loss; pale mucous membranes,N,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2023-11-26,0.89,1174
Lesotho,Maseru,bury,Goat,Boer cross,Adult,Mastitis,abnormal_milk|swollen_udder|pain_on_palpation|reduced_milk,abnormal milk; swollen udder,N,No,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,Extension_guide,2020-06-27,0.79,1833
Zimbabwe,Mashonaland West,land,Cattle,Hereford,Neonate,Parasitic Gastroenteritis,poor_condition|weight_loss|anorexia|diarrhoea|bottle_jaw,poor condition; weight loss,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2022-02-15,0.88,377
Zimbabwe,Masvingo,town,Sheep,Local,Neonate,Dermatophilosis,lameness|crusting_skin_lesions|ticks_observed,lameness; crusting skin lesions,N,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2021-02-05,0.93,3854
Seychelles,Inner Islands,Heatherhaven,Cattle,Brahman,Neonate,Anaplasmosis,weakness|pale_mucous_membranes|progressive_anemia|weight_loss,weakness; pale mucous membranes,N,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2024-04-23,0.79,3617
Mauritius,Plaines Wilhems,Brittneyhaven,Goat,Boer,Neonate,Orf (Contagious Ecthyma),weight_loss|scabby_lesions_mouth,weight loss; scabby mouth lesions,N,No,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2024-02-10,0.8,799
Namibia,Otjozondjupa,haven,Goat,Boer cross,Juvenile,Babesiosis,hemoglobinuria|fever,red/brown urine (hemoglobinuria); fever,Y,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2022-01-18,0.86,379
Madagascar,Antananarivo,berg,Goat,Local,Senior,Mannheimiosis (Pasteurellosis),fever|coughing,fever; coughing,N,No,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2024-09-07,0.73,1159
Comoros,Ngazidja,chester,Goat,Boer,Juvenile,Parasitic Gastroenteritis,diarrhoea|bottle_jaw|anorexia|poor_condition|weight_loss,diarrhoea; bottle jaw,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2022-06-08,0.86,3820
Zambia,Lusaka,Ericville,Cattle,Hereford,Adult,Dermatophilosis,crusting_skin_lesions|wet_skin|exudative_dermatitis|matted_hair,crusting skin lesions; wet skin,N,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2020-06-04,0.9,2793
Malawi,Southern,East Nicoleview,Sheep,Dorper,Neonate,Mastitis,abnormal_milk|reduced_milk|pain_on_palpation|swollen_udder,abnormal milk; reduced milk yield,N,No,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,Extension_guide,2025-01-17,0.86,2241
Malawi,Southern,town,Cattle,Sanga,Juvenile,Mastitis,abnormal_milk|swollen_udder|pain_on_palpation,abnormal milk; swollen udder,N,No,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2025-09-11,0.7,4036
South Africa,Free State,Ericside,Goat,Boer,Juvenile,Orf (Contagious Ecthyma),lamb_kid_mortality|weight_loss,lamb kid mortality; weight loss,N,No,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2024-02-03,0.82,2663
South Africa,Northern Cape,berg,Cattle,Friesian,Adult,Blackleg,swollen_muscle|sudden_death|severe_lameness|sudden_death,swollen muscle; sudden death,N,No,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2020-07-18,0.93,4013
Mauritius,Plaines Wilhems,haven,Cattle,Local,Neonate,Anaplasmosis,weight_loss|weakness|fever,weight loss; weakness,N,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2023-12-20,0.87,2958
Seychelles,Inner Islands,borough,Sheep,Merino,Neonate,Mastitis,pain_on_palpation|swollen_udder|reduced_milk|abnormal_milk,pain on palpation; swollen udder,N,No,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2023-02-26,0.87,3928
Malawi,Central,chester,Goat,Kalahari,Juvenile,Dermatophilosis,wet_skin|exudative_dermatitis|lameness,wet skin; exudative dermatitis,N,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2022-04-29,0.92,1039
DR Congo,Kinshasa,borough,Sheep,Merino,Senior,Mastitis,reduced_milk|abnormal_milk|swollen_udder,reduced milk yield; abnormal milk,N,No,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2024-10-02,0.86,3260
Botswana,North East,port,Goat,Kalahari,Senior,Tick-bite toxicosis,salivation|anemia|sudden_weakness|lameness,salivation; anemia,N,No,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2021-04-08,0.81,1345
Angola,Luanda,fort,Pig,Local,Juvenile,African Swine Fever,abortions|high_fever|sudden_death|hemorrhages|anorexia,abortions; high fever,N,No,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Extension_guide,2025-05-03,0.8,2506
Zambia,Copperbelt,furt,Goat,Boer,Adult,Babesiosis,weakness|anemia|hemoglobinuria,weakness; anemia,Y,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2025-07-02,0.87,1722
Zambia,Eastern,New Thomashaven,Sheep,Merino,Juvenile,Orf (Contagious Ecthyma),weight_loss|scabby_lesions_mouth,weight loss; scabby mouth lesions,N,No,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2024-03-14,0.81,4664
Lesotho,Maseru,New Saraside,Sheep,Merino,Neonate,Babesiosis,anorexia|fever|hemoglobinuria|weakness|ticks_observed,reduced appetite/anorexia; fever,N,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2025-08-13,0.97,176
Mozambique,Sofala,haven,Goat,Local,Neonate,Anaplasmosis,weakness|fever|progressive_anemia|weight_loss,weakness; fever,N,Yes,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Extension_guide,2022-06-21,0.77,4894
Comoros,Ngazidja,town,Sheep,Dorper,Neonate,Anaplasmosis,weight_loss|weakness|progressive_anemia,weight loss; weakness,N,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2024-05-19,0.69,1910
Mauritius,Plaines Wilhems,haven,Cattle,Bonsmara,Senior,Babesiosis,weakness|anorexia|hemoglobinuria|anemia|ticks_observed,weakness; reduced appetite/anorexia,Y,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2023-12-22,0.86,46
Botswana,South East,haven,Cattle,Friesian,Senior,Dermatophilosis,matted_hair|lameness|wet_skin,matted hair; lameness,N,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2022-10-07,0.84,3410
Madagascar,Antananarivo,New Maria,Cattle,Friesian,Adult,Mastitis,reduced_milk|pain_on_palpation|abnormal_milk|swollen_udder,reduced milk yield; pain on palpation,N,No,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2020-11-03,0.95,4675
South Africa,Western Cape,side,Cattle,Sanga,Juvenile,Brucellosis,orchitis|retained_placenta,orchitis; retained placenta,N,No,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,PLOS_Study,2024-09-17,0.8,1076
Madagascar,Antananarivo,haven,Poultry,Indigenous,Adult,Newcastle Disease,drop_in_egg_production|respiratory_distress,drop in egg production; respiratory distress,N,No,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.,Extension_guide,2025-06-14,0.84,2830
Malawi,Central,port,Goat,Local,Adult,Dermatophilosis,lameness|exudative_dermatitis|ticks_observed,lameness; exudative dermatitis,N,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2023-09-20,0.89,1505
South Africa,KwaZulu-Natal,berg,Sheep,Merino,Juvenile,Mastitis,abnormal_milk|pain_on_palpation,abnormal milk; pain on palpation,N,No,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2021-07-09,0.7,2310
Zambia,Southern,furt,Cattle,Hereford,Adult,Anaplasmosis,pale_mucous_membranes|weakness|fever,pale mucous membranes; weakness,Y,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2022-08-05,0.82,1437
Angola,Luanda,view,Cattle,Brahman,Senior,Parasitic Gastroenteritis,weight_loss|anorexia|diarrhoea|bottle_jaw,weight loss; reduced appetite/anorexia,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2020-11-25,0.93,2419
Tanzania,Mwanza,side,Sheep,Dorper,Juvenile,Orf (Contagious Ecthyma),scabby_lesions_mouth|weight_loss|lamb_kid_mortality,scabby mouth lesions; weight loss,N,No,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2025-08-30,0.84,3987
Angola,Benguela,North Michaelview,Pig,Large White,Adult,African Swine Fever,sudden_death|hemorrhages|anorexia,sudden death; hemorrhages,N,No,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.,SADC_bulletin,2022-10-24,0.77,3099
Lesotho,Mokhotlong,Huffview,Cattle,Brahman,Juvenile,Theileriosis,respiratory_distress|drooling|lymph_node_enlargement|anorexia,respiratory distress; drooling/ptyalism,N,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2022-02-20,0.83,4589
Botswana,South East,Michaelmouth,Cattle,Bali,Neonate,Mannheimiosis (Pasteurellosis),coughing|nasal_discharge,coughing; nasal discharge,N,No,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2022-01-29,0.79,284
Angola,Huíla,berg,Cattle,Angus,Senior,Foot-and-Mouth Disease,lameness|blisters_mouth_feet|excess_salivation|fever|reduced_appetite|sudden_death,lameness; vesicles/blisters on mouth/feet,N,Yes,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Field_report,2020-06-24,0.94,4919
DR Congo,Kinshasa,ton,Goat,Local,Juvenile,Babesiosis,weakness|fever,weakness; fever,N,Yes,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2019-11-08,0.85,843
Lesotho,Mokhotlong,mouth,Goat,Local,Juvenile,Dermatophilosis,lameness|matted_hair|wet_skin|crusting_skin_lesions|ticks_observed,lameness; matted hair,N,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2021-04-23,0.9,1514
Lesotho,Mokhotlong,side,Sheep,Local,Senior,Theileriosis,drooling|anorexia|lymph_node_enlargement|icterus|fever,drooling/ptyalism; reduced appetite/anorexia,Y,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2023-02-27,0.79,1169
Zimbabwe,Matabeleland North,ton,Goat,Boer cross,Juvenile,Parasitic Gastroenteritis,diarrhoea|poor_condition|weight_loss|anorexia|bottle_jaw,diarrhoea; poor condition,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2020-04-24,0.85,1593
Seychelles,Inner Islands,ton,Goat,Local,Neonate,Orf (Contagious Ecthyma),scabby_lesions_mouth|lamb_kid_mortality|weight_loss,scabby mouth lesions; lamb kid mortality,N,No,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2025-08-20,0.84,3461
Seychelles,Inner Islands,port,Sheep,Merino,Juvenile,Parasitic Gastroenteritis,poor_condition|weight_loss|anorexia|diarrhoea|bottle_jaw,poor condition; weight loss,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,Extension_guide,2022-03-13,0.81,3166
Zimbabwe,Masvingo,Sandrafort,Sheep,Merino,Juvenile,Parasitic Gastroenteritis,bottle_jaw|weight_loss|poor_condition|anorexia,bottle jaw; weight loss,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2023-10-24,0.85,2285
Malawi,Northern,bury,Pig,Local,Adult,Anthrax,tongue_ulcers|sudden_death|neck_edema|swelling,tongue ulcers; sudden death,N,No,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Merck_VetManual,2023-05-20,0.9,3576
Eswatini,Manzini,port,Sheep,Merino,Adult,Orf (Contagious Ecthyma),scabby_lesions_mouth|weight_loss,scabby mouth lesions; weight loss,N,No,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2022-11-25,0.72,4871
DR Congo,Kasai,berg,Pig,Landrace,Neonate,African Swine Fever,hemorrhages|high_fever|anorexia|abortions|sudden_death,hemorrhages; high fever,N,No,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.,PLOS_Study,2021-05-23,0.86,2306
Seychelles,Inner Islands,Robertshire,Goat,Boer,Senior,Theileriosis,lymph_node_enlargement|fever|anorexia|icterus,lymph node enlargement; fever,Y,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2021-08-28,0.88,953
Madagascar,Antananarivo,town,Sheep,Katahdin,Adult,Babesiosis,anemia|weakness|anorexia|fever|hemoglobinuria,anemia; weakness,N,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2021-03-20,0.86,4943
Malawi,Southern,stad,Pig,Local,Juvenile,Brucellosis,orchitis|abortions|reduced_fertility,orchitis; abortions,N,Yes,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Field_report,2025-08-25,0.93,3054
Seychelles,Inner Islands,chester,Sheep,Dorper,Senior,Blackleg,severe_lameness|sudden_death|swollen_muscle,severe lameness; sudden death,N,Yes,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2020-04-07,0.86,4560
Namibia,Otjozondjupa,mouth,Pig,Berkshire,Neonate,Anthrax,tongue_ulcers|neck_edema|sudden_death,tongue ulcers; neck edema,N,No,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,FAO_EMPRES,2023-04-24,0.78,2686
Madagascar,Antananarivo,Priceton,Sheep,Merino,Senior,Foot-and-Mouth Disease,lameness|blisters_mouth_feet|excess_salivation|fever,lameness; vesicles/blisters on mouth/feet,N,No,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,SADC_bulletin,2024-09-25,0.89,1490
Tanzania,Mtwara,Port Amanda,Cattle,Hereford,Senior,Dermatophilosis,matted_hair|wet_skin|exudative_dermatitis|ticks_observed,matted hair; wet skin,N,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2021-10-28,0.88,928
Tanzania,Mtwara,ton,Sheep,Local,Juvenile,Theileriosis,fever|anorexia|icterus|drooling,fever; reduced appetite/anorexia,N,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2021-10-23,0.79,1210
Zambia,Lusaka,South Patrickville,Cattle,Angus,Juvenile,Parasitic Gastroenteritis,weight_loss|diarrhoea|bottle_jaw|poor_condition|anorexia,weight loss; diarrhoea,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,Extension_guide,2019-11-22,0.92,3974
Botswana,Kgatleng,Andresshire,Cattle,Local,Neonate,Dermatophilosis,matted_hair|exudative_dermatitis,matted hair; exudative dermatitis,Y,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2023-08-05,0.68,3546
South Africa,North West,burgh,Cattle,Hereford,Senior,Dermatophilosis,exudative_dermatitis|matted_hair|ticks_observed,exudative dermatitis; matted hair,Y,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2021-05-15,0.71,4362
Mauritius,Plaines Wilhems,borough,Cattle,Bonsmara,Adult,Theileriosis,respiratory_distress|icterus|lymph_node_enlargement|fever|drooling,respiratory distress; jaundice/icterus,N,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2023-01-01,0.84,1922
Zambia,Northern,ville,Sheep,Local,Adult,Anthrax,fever|swelling,fever; swelling,N,No,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,FAO_EMPRES,2021-02-21,0.87,352
